date,text,category,opinion
2023-10-05,"Отличный сервис! Сотрудники всегда вежливы и помогают решить любые вопросы.",Благодарность,Позитивный
2023-10-04,"Очень неудобный процесс открытия счета онлайн. Много лишних шагов и непонятных форм.",Претензия,Негативный
2023-10-03,"Предлагаю добавить возможность автоматической конвертации валюты при международных переводах.",Предложение,Нейтральный
2023-10-02,"Быстрая и качественная поддержка клиентов. Вопросы решаются моментально!",Благодарность,Позитивный
2023-10-01,"Постоянные сбои в работе мобильного приложения. Очень разочарован.",Претензия,Негативный
2023-09-30,"Добавить возможность управления лимитами карт прямо в мобильном приложении.",Предложение,Нейтральный
2023-09-29,"Лучший банк среди всех, с кем приходилось работать. Рекомендую всем!",Благодарность,Позитивный
2023-09-28,"Проблемы с начислением процентов по вкладу. Деньги до сих пор не поступили.",Претензия,Негативный
2023-09-27,"Предлагаю ввести кэшбэк за оплату коммунальных услуг.",Предложение,Нейтральный
2023-09-26,"Оперативная помощь в решении вопросов по кредитам. Большое спасибо!",Благодарность,Позитивный
2023-09-25,"Долго ожидал ответа от службы поддержки. Проблема так и осталась нерешенной.",Претензия,Негативный
2023-09-24,"Хотелось бы видеть больше акций и специальных предложений для постоянных клиентов.",Предложение,Нейтральный
2023-09-23,"Надежный банк с отличными условиями по вкладам. Рекомендую!",Благодарность,Позитивный
2023-09-22,"Не могу воспользоваться картой за границей. Почему она заблокирована?",Претензия,Негативный
2023-09-21,"Предлагаю улучшить интерфейс интернет-банка. Сейчас он выглядит устаревшим.",Предложение,Нейтральный
2023-08-31,"Очень удобный мобильный банк. Все операции выполняются быстро и без проблем.",Благодарность,Позитивный
2023-07-20,"Почему так сложно связаться с поддержкой? Телефон постоянно занят.",Претензия,Негативный
2023-06-18,"Предлагаю добавить возможность перевода денег между разными банками без комиссии.",Предложение,Нейтральный
2023-05-17,"Отличная работа сотрудников банка! Всегда готовы помочь и объяснить все нюансы.",Благодарность,Позитивный
2023-04-16,"Постоянные задержки в обработке платежей. Это недопустимо!",Претензия,Негативный
2023-03-15,"Добавить возможность настройки уведомлений о поступлении средств на карту.",Предложение,Нейтральный
2023-02-14,"Банк ПСБ – мой надежный партнер в финансовых вопросах. Благодарен за сотрудничество!",Благодарность,Позитивный
2023-01-13,"Не могу войти в интернет-банк. Ошибка авторизации повторяется снова и снова.",Претензия,Негативный
2022-12-12,"Предлагаю улучшить систему безопасности. Было бы хорошо иметь двухфакторную аутентификацию.",Предложение,Нейтральный
2022-11-11,"Великолепный сервис! Быстрое обслуживание и удобные условия вкладов.",Благодарность,Позитивный
2022-10-10,"Почему мне отказали в кредите без объяснения причин? Это несправедливо!",Претензия,Негативный
2022-09-09,"Хотелось бы видеть больше отделений банка в моем городе.",Предложение,Нейтральный
2022-08-08,"Отличный банк с профессиональными сотрудниками. Всегда на связи и готовы помочь.",Благодарность,Позитивный
2022-07-07,"Не могу оплатить коммунальные услуги через мобильное приложение. Постоянные ошибки.",Претензия,Негативный
2022-06-06,"Предлагаю добавить возможность открытия счета онлайн без посещения отделения.",Предложение,Нейтральный
2023-10-19,"Отличный банк! Всегда оперативно решают мои вопросы.",Благодарность,Позитивный
2023-10-18,"Почему такие высокие комиссии за международные переводы?",Претензия,Негативный
2023-10-17,"Предлагаю добавить возможность создания виртуальных карт для безопасных покупок.",Предложение,Нейтральный
2023-10-16,"Великолепный клиентский сервис! Всегда получают ответы на все вопросы.",Благодарность,Позитивный
2023-10-15,"Не могу войти в свой аккаунт. Система выдает ошибку.",Претензия,Негативный
2023-10-14,"Хотелось бы видеть больше возможностей для инвестиций.",Предложение,Нейтральный
2019-12-31,"Отличный банк! Всегда оперативно решают мои вопросы.",Благодарность,Позитивный
2019-11-30,"Почему такие высокие комиссии за международные переводы?",Претензия,Негативный
2019-10-31,"Предлагаю добавить возможность создания виртуальных карт для безопасных покупок.",Предложение,Нейтральный
2019-09-30,"Великолепный клиентский сервис! Всегда получают ответы на все вопросы.",Благодарность,Позитивный
2019-08-31,"Не могу войти в свой аккаунт. Система выдает ошибку.",Претензия,Негативный
2019-07-31,"Хотелось бы видеть больше возможностей для инвестиций.",Предложение,Нейтральный
2019-06-30,"Отличный банк! Всегда быстро и качественно обслуживают.",Благодарность,Позитивный
2019-05-31,"Почему так долго обрабатываются платежи? Это крайне неудобно.",Претензия,Негативный
2019-04-30,"Предлагаю добавить функцию автоматического пополнения карты.",Предложение,Нейтральный
2019-03-31,"Отличный банк! Никогда не возникало никаких проблем.",Благодарность,Позитивный
2019-02-28,"Не могу перевести деньги на другой счет. Система не работает.",Претензия,Негативный
2019-01-31,"Хотелось бы видеть больше бонусов и скидок для постоянных клиентов.",Предложение,Нейтральный
2018-12-31,"Великолепный банк! Отличные условия и отличный сервис.",Благодарность,Позитивный
2018-11-30,"Почему так сложно связаться с поддержкой? Никто не отвечает.",Претензия,Негативный
2018-10-31,"Предлагаю добавить возможность управления несколькими счетами в одном приложении.",Предложение,Нейтральный
